#==========================================
   BEGIN_DATAGAS
#===  ONLY 120 Characters per Line
#------------------------------------------             
#  Name          MolMass  Alpha         Dg 
#                [g/mol]
#
HCL               36.0    0.1158        0.0000189
HCO        29.0      0.0      0.0
HKET              74.0    0.008         0.0000096
HNO3              63.0    0.0868        0.0000132
HNO4              79.0    0.1           0.0000130
HO                17.0    0.05          0.0000153
HO2               33.0    0.01          0.0000104
HONO              47.0    0.05          0.000013
ISO               68.0    0.0           0.0
ISOPX            117.0    0.0           0.0
KET               72.0    0.0           0.0
CH3COCH3          58.0    5.4e-3        0.0000100
CH3CH2COCH3       72.0    0.01          0.0000100
CH3COCH2CHCH32   100.16   0.01          0.0000075
KETH       117.0     0.0      0.0   #(long chain ketones with seven or more carbons)
KETPX            103.0    0.0           0.0
LIMN             136.0    0.0           0.0
LIMPX            185.0    0.0           0.0
MACR              70.0    0.0           0.0
MGLY              72.0    0.03          0.0000095
MO2               47.0    6.7581e-3     0.0000135
N2O5             108.0    0.018         0.000011
NH3               17.0    0.091         0.000023
NO                30.0    0.001         0.0000224
NO2               46.0    1.5e-3        0.0000192
NO3               62.0    4.2e-3        0.00001
NOPI             138.0     0.0      0.0
O                 16.0    0.0           0.0
O1D               16.0    0.0           0.0
O3                48.0    0.1           0.0000148
O3PX              16.0    0.0           0.0
OH                17.0    0.0           0.0
OLI               68.0    0.0           0.0
OLIPX            117.0    0.0           0.0
OLND             136.0    0.0           0.0
OLNN             136.0    0.0           0.0
OLT               42.0    0.0           0.0
OLTPX             91.0    0.0           0.0
ONIT             119.0    0.0           0.0
OOH1       189.0     0.0      0.0
OOH2       246.0     0.0      0.0
OP1               48.0    6.7581e-3     0.0000131
OP2               62.0    0.01          0.0000076
ORA1              46.0    2.29e-2       0.0000153
ORA2              60.0    3.22e-2       0.0000124
CH3COOH           60.0    3.22e-2       0.0000124
CH3CH2COOH        74.0    3.22e-2       0.0000093
CH3CH2CH2COOH     88.0    0.03          0.0000082
PAA               76.0    1.9e-2        0.0000102
PAN              121.0    0.019         0.0000063
PAN103       229.0     0.0      0.0
PHO              107.0    0.0           0.0
RO2108       185.0     0.0      0.0      #Mass approximation for this radical-type
RO2109       185.0     0.0      0.0
RO2201       185.0     0.0      0.0      #Mass approximation for this radical-type
RO2202       230.0     0.0      0.0
RO2203       185.0     0.0      0.0
RO2T       200.0     0.0      0.0      #Mass approximation for RO2 radicals
RP101       170.0     0.0      0.0
SO2               64.0    0.11          0.0000128
SULF              98.0    0.12          0.000013
TCO3             115.0    0.0           0.0
TOL               92.0    0.0           0.0
TOLPX            141.0    0.0           0.0
TPAN             147.0    0.0           0.0
UDD              119.0    0.0           0.0
UR104       186.0     0.0      0.0
UR201       152.0     0.0      0.0
UR202       142.0     0.0      0.0
UR203       260.0     0.0      0.0
UR204       154.0     0.0      0.0
UR205       152.0     0.0      0.0
XO2               32.0    0.0           0.0
XYL              106.0    0.0           0.0
XYLPX            155.0    0.0           0.0 
OHCCH2OH          60.0    0.040         0.000011 
MVK               70.0    0.0           0.0
CAR4              94.6    0.0           0.0
ISON             146.0    0.0           0.0
ISHPX            150.0    0.0           0.0
MACRPX           119.0    0.0           0.0
NALD             105.0    0.0           0.0
MAHPX            152.0    0.0           0.0
MVKPX            119.0    0.0           0.0
MPAN             165.0    0.0           0.0
ISON             130.0    0.0           0.0
[O2]              32.0    0.1           0.0000112
[N2]              28.0    0.0           0.0
[H2O]             18.0    0.0           0.0    
   END_DATAGAS

#==========================================
   BEGIN_DATAQUA              
#===  ONLY 120 Characters per Line
#------------------------------------------
# Name          MolMass          Charge       SolubInd      OrgIndex     ActIndex
#               [g/mol]                                        
# 
ALppp              26.98          3.00          1.00          0.00         1.00
ALOH2p             61.00          1.00          1.00          0.00         1.00
ALOH3              78.00          0.00          1.00          0.00         1.00
AlOH4m             95.01         -1.00          1.00          0.00         1.00
ALOHpp             43.99          2.00          1.00          0.00         1.00 
ALSO4p            123.04          1.00          1.00          0.00         1.00
BR2m              159.81         -1.00          1.00          0.00         1.00
BROHm              96.91         -1.00          1.00          0.00         1.00
BRm                79.90         -1.00          1.00          0.00         1.00
C2O4m              88.00         -1.00          1.00          2.00         1.00
C2O4mm             88.00         -2.00          1.00          2.00         1.00
CH2COOm            58.00         -1.00          1.00          2.00         1.00
CH2OHCOOm          75.02         -1.00          1.00          2.00         1.00
CH3COCOOm          87.03         -1.00          1.00          3.00         1.00
CHOCH2COOm         86.02         -1.00          1.00          3.00         1.00
CHOCHOHCOOm       103.03         -1.00          1.00          3.00         1.00
CHOCOCOOm         101.01         -1.00          1.00          3.00         1.00
CHOH2CH2COOm      105.04         -1.00          1.00          3.00         1.00
CHOH2COOm          91.02         -1.00          1.00          2.00         1.00
CHOHSO3m          110.07         -1.00          1.00          1.00         1.00
CHOSO3m           109.07         -1.00          1.00          1.00         1.00
CHOSO3mm          109.07         -2.00          1.00          1.00         1.00
CL2m               70.90         -1.00          1.00          0.00         1.00
CLOHm              52.45         -1.00          1.00          0.00         1.00
CLm                35.45         -1.00          1.00          0.00         1.00
CO2m               44.00         -1.00          1.00          0.00         1.00
CO3m               60.00         -1.00          1.00          0.00         1.00
CO3mm              60.00         -2.00          1.00          0.00         1.00
CUOHpp             80.55          2.00          1.00          0.00         1.00
CUp                63.55          1.00          1.00          0.00         1.00
CUpp               63.55          2.00          1.00          0.00         1.00
FEC2O42m          231.85         -1.00          1.00          4.00         1.00
FEC2O43mmm        319.85         -3.00          1.00          6.00         1.00
FEC2O4p           143.85          1.00          1.00          2.00         1.00
FECLpp             91.30          2.00          1.00          0.00         1.00
FEMO2pp            87.85          2.00          1.00          1.00         1.00
FEOH2FEpppp       145.71          4.00          1.00          0.00         1.00
FEOH3             106.87          0.00          1.00          0.00         1.00
FEOH4m            123.88         -1.00          1.00          0.00         1.00
FEOH2p             89.86          1.00          1.00          0.00         1.00
FEOHpp             72.85          2.00          1.00          0.00         1.00
FEOpp              71.85          2.00          1.00          0.00         1.00
FESO4p            151.91          1.00          1.00          0.00         1.00
FEpp               55.85          2.00          1.00          0.00         1.00
FEppp              55.85          3.00          1.00          0.00         1.00
H4SIO4             96.11          0.00          1.00          0.00         1.00
HC2O4m             89.01         -1.00          1.00          2.00         1.00
HCO3m              61.00         -1.00          1.00          0.00         1.00
HCOOm              45.01         -1.00          1.00          1.00         1.00
HMSm              111.00         -1.00          1.00          1.00         1.00
HOCH2COCOOm       103.02         -1.00          1.00          3.00         1.00
HOOCC2H4COOm      117.04         -1.00          1.00          4.00         1.00
HOOCCH2COOm       103.02         -1.00          1.00          3.00         1.00
HOOCCHOHCH2COOm   133.04         -1.00          1.00          4.00         1.00
HOOCCHOHCOCOOm    119.02         -1.00          1.00          4.00         1.00
HOOCCHOHCOOm      147.02         -1.00          1.00          3.00         1.00
HOOCCO2HCOOm      134.02         -1.00          1.00          3.00         1.00
HOOCCOCH2COOm     119.02         -1.00          1.00          4.00         1.00
HOOCCOCOCOOm      145.02         -1.00          1.00          4.00         1.00
HOOCCOCOOm        117.01         -1.00          1.00          3.00         1.00
HSO3m              81.07         -1.00          1.00          0.00         1.00
HSO4m              97.07         -1.00          1.00          0.00         1.00
HSO5m             113.07         -1.00          1.00          0.00         1.00
MCOOm              59.02         -1.00          1.00          2.00         1.00
MNBR2p            214.75          1.00          1.00          0.00         1.00
MNCL2p            125.85          1.00          1.00          0.00         1.00
MNHSO3p           136.01          1.00          1.00          0.00         1.00
MNO2p              86.94          1.00          1.00          0.00         1.00
MNOH2p             88.94          1.00          1.00          0.00         1.00
MNOHpp             71.94          2.00          1.00          0.00         1.00
MNOpp              70.94          2.00          1.00          0.00         1.00
MNpp               54.94          2.00          1.00          0.00         1.00
MNppp              54.94          3.00          1.00          0.00         1.00
MNpppp             54.94          4.00          1.00          0.00         1.00
NH4p               18.04          1.00          1.00          0.00         1.00
NO2m               46.00         -1.00          1.00          0.00         1.00
NO2p               46.00          1.00          1.00          0.00         1.00
NO3m               62.00         -1.00          1.00          0.00         1.00
NO4m               78.00         -1.00          1.00          0.00         1.00
aO2                32.00          0.00          1.00          0.00         0.00
O2CH2COOm          90.02         -1.00          1.00          2.00         1.00
O2CHOHSO3m        142.08         -1.00          1.00          1.00         1.00
O2COH2COOm        122.01         -1.00          1.00          2.00         1.00
O2m                32.00         -1.00          1.00          0.00         1.00
O3m                48.00         -1.00          1.00          0.00         1.00
OOCCH2CH2COOmm    116.03         -2.00          1.00          4.00         1.00
OOCCH2COOmm       102.02         -2.00          1.00          3.00         1.00
OOCCHO2COOmm      133.01         -2.00          1.00          3.00         1.00
OOCCHOHCH2COOmm   132.03         -2.00          1.00          4.00         1.00
OOCCHOHCHOHCHOm   133.04         -1.00          1.00          4.00         1.00
OOCCHOHCHOHCOOHm  149.04         -1.00          1.00          4.00         1.00
OOCCHOHCOCHOm     131.03         -1.00          1.00          4.00         1.00
OOCCHOHCOCOOm     162.02         -1.00          1.00          4.00         1.00
OOCCHOHCOOmm      118.02         -2.00          1.00          3.00         1.00
OOCCOCH2COOmm     130.02         -2.00          1.00          4.00         1.00
OOCCOCOOmm        116.00         -2.00          1.00          3.00         1.00
OONOm              62.00         -1.00          1.00          0.00         1.00
PAAm               75.00         -1.00          1.00          2.00         1.00
S2O8mm            192.13         -2.00          1.00          0.00         1.00
SO3m               80.06         -1.00          1.00          0.00         1.00
SO3mm              80.06         -2.00          1.00          0.00         1.00
SO4m               96.06         -1.00          1.00          0.00         1.00
SO4mm              96.06         -2.00          1.00          0.00         1.00
SO5O2Hm           145.07         -1.00          1.00          0.00         1.00
SO5O2mm           144.07         -2.00          1.00          0.00         1.00
SO5m              112.06         -1.00          1.00          0.00         1.00
aACO3              75.03          0.00          1.00          2.00         0.00
aBR                79.90          0.00          1.00          0.00         0.00
aBR2              159.80          0.00          1.00          0.00         0.00
aBRCL             115.35          0.00          1.00          0.00         0.00
aBRNO2            125.91          0.00          1.00          0.00         0.00
aC2H4COOH2        118.05          0.00          1.00          4.00         1.00
aC2H5CHO           58.05          0.00          1.00          3.00         1.00
aCH2COOH           59.02          0.00          1.00          2.00         1.00
aCH2OH             31.02          0.00          1.00          1.00         1.00
aCH2OH2            48.03          0.00          1.00          1.00         1.00
aCH2OHCH2OH        62.05          0.00          1.00          2.00         1.00
aCH2OHCOOH         76.03          0.00          1.00          2.00         1.00
aCH3               15.00          0.00          1.00          1.00         1.00
aCH3CH2CH2CHO      72.07          0.00          1.00          4.00         1.00
aCH3CH2CH2COOH     88.06          0.00          1.00          4.00         1.00
aCH3CH2COOH        74.05          0.00          1.00          3.00         1.00
aCH3CH2O           45.04          0.00          1.00          2.00         1.00
aCH3CHO            44.04          0.00          1.00          2.00         1.00
aCH3CHOH           45.04          0.00          1.00          2.00         1.00
aCH3CHOH2          62.05          0.00          1.00          2.00         1.00
aCH3CO             43.03          0.00          1.00          2.00         1.00
aCH3COCOOH         88.03          0.00          1.00          3.00         1.00
aCH3COH2           61.04          0.00          1.00          2.00         1.00
aCH3COH2O2         93.04          0.00          1.00          2.00         1.00
aCH3COOH           60.03          0.00          1.00          2.00         1.00
aCH3O              31.00          0.00          1.00          1.00         1.00
aCH3OH             32.00          0.00          1.00          1.00         1.00
aCHOCH2COOH        88.03          0.00          1.00          3.00         1.00
aCHOCHOHCOOH      104.03          0.00          1.00          3.00         1.00
aCHOCOCOOH        102.02          0.00          1.00          3.00         1.00
aCHOH2             47.02          0.00          1.00          1.00         1.00
aCH3COCHOH2        90.05          0.00          1.00          3.00         1.00
aCHOH2CH2COOH     106.05          0.00          1.00          3.00         1.00
aCHOH2CHOH2        94.05          0.00          1.00          3.00         1.00
aCHOH2COOH         92.03          0.00          1.00          2.00         1.00
aCL                35.45          0.00          1.00          0.00         0.00
aCL2               70.90          0.00          1.00          0.00         0.00
aCLNO2             81.46          0.00          1.00          0.00         0.00
aCO2               44.00          0.00          1.00          0.00         0.00
aCO2H              45.00          0.00          1.00          0.00         0.00
aCOH2CHOH2         93.04          0.00          1.00          2.00         1.00
aCOH2COOH          91.02          0.00          1.00          2.00         1.00
aETHPX             61.04          0.00          1.00          2.00         0.00
aETOH              46.05          0.00          1.00          2.00         1.00
aGLY               58.02          0.00          1.00          2.00         1.00
aH2C2O4            90.02          0.00          1.00          2.00         1.00
aH2O2              34.00          0.00          1.00          0.00         0.00
aHCHO              30.00          0.00          1.00          1.00         1.00
aHCL               36.45          0.00          1.00          0.00         0.00
aHNO3              63.00          0.00          1.00          0.00         0.00
aHNO4              79.00          0.00          1.00          0.00         0.00
aHO                17.00          0.00          1.00          0.00         0.00
aHO2               33.00          0.00          1.00          0.00         0.00
aHO3               49.00          0.00          1.00          0.00         0.00
aHOBR              96.91          0.00          1.00          0.00         0.00
aHOCH2COCOOH      104.03          0.00          1.00          3.00         1.00
aHOCL              52.46          0.00          1.00          0.00         0.00
aHONO              47.00          0.00          1.00          0.00         1.00
aHOOCCH2COOH      104.03          0.00          1.00          3.00         1.00
aHOOCCHO2COOH     135.03          0.00          1.00          3.00         1.00
aHOOCCHOHCH2COOH  134.05          0.00          1.00          4.00         1.00
aHOOCCHOHCHOHCOOH    150.05       0.00          1.00          4.00         1.00
aHOOCCHOHCHOHCHO  134.05          0.00          1.00          4.00         1.00
aO2COH2CHOH2      125.04          0.00          1.00          2.00         1.00
aHOOCCHOHCOCHO    132.03          0.00          1.00          4.00         1.00
aHOOCCHOHCOCOOH   148.03          0.00          1.00          4.00         1.00
aHOOCCHOHCOOH     120.03          0.00          1.00          3.00         1.00
aHOOCCOCH2COOH    132.03          0.00          1.00          4.00         1.00
aHOOCCOCOCOOH     146.02          0.00          1.00          4.00         1.00
aHOOCCOCOOH       118.02          0.00          1.00          3.00         1.00
aHOONO             63.00          0.00          1.00          0.00         0.00
aMO2               47.00          0.00          1.00          2.00         1.00
aN2O5             108.01          0.00          1.00          0.00         0.00
aNH3               17.00          0.00          1.00          0.00         0.00
aNO                30.00          0.00          1.00          0.00         0.00
aNO2               46.00          0.00          1.00          0.00         0.00
aNO3               62.00          0.00          1.00          0.00         0.00
aO2                32.00          0.00          1.00          0.00         0.00
aO2CH2COOH         91.02          0.00          1.00          2.00         1.00
aO2CH2OH           63.02          0.00          1.00          1.00         1.00
aO2CH3CHOH         77.04          0.00          1.00          2.00         1.00
aO2CHO             61.01          0.00          1.00          1.00         1.00
aO2COH2COOH       123.02          0.00          1.00          2.00         1.00
aO3                48.00          0.00          1.00          0.00         0.00
aO3PX              16.00          0.00          1.00          0.00         0.00
aOH2CHCH2OH        78.05          0.00          1.00          2.00         1.00
aOHCCH2OH          60.03          0.00          1.00          2.00         1.00
aOHCCHCHCHO        84.03          0.00          1.00          4.00         1.00
aOHCCHOHCHOHCHO   118.05          0.00          1.00          4.00         1.00
aOHCCHOHCOCHO     116.03          0.00          1.00          4.00         1.00
aOHCH2SO3         111.09          0.00          1.00          1.00         0.00
aOP1               48.00          0.00          1.00          1.00         0.00
aORA1              46.00          0.00          1.00          1.00         0.00
aPAA               76.03          0.00          1.00          2.00         0.00
aSO2               64.00          0.00          1.00          0.00         0.00
aSO3               80.00          0.00          1.00          0.00         0.00
aSULF              98.00          0.00          1.00          0.00         0.00
aWSOC             100.00          0.00          1.00          6.00         0.00
sWISOC            250.00          0.00          0.00         20.00         0.00
aEC                12.00          0.00          0.00          0.00         0.00
KATp               30.60          1.00          1.00          0.00         1.00
KATpp              38.30          2.00          1.00          0.00         1.00
ANIm               19.00         -1.00          1.00          0.00         1.00
Im                126.90         -1.00          1.00          0.00         1.00
sMETAL             56.00          0.00          0.00          0.00         0.00
sSIO2              60.00          0.00          0.00          0.00         0.00
aP                 31.00          0.00          1.00          0.00         0.00
aMSA               96.00          0.00          1.00          1.00         0.00
NAp                23.00          1.00          1.00          0.00         1.00
Kp                 39.10          1.00          1.00          0.00         1.00
MGpp               24.30          2.00          1.00          0.00         1.00
CApp               40.10          2.00          1.00          0.00         1.00
Fm                 31.00         -1.00          1.00          0.00         1.00
OHm                17.00         -1.00          1.00          0.00         1.00
Hp                  1.00          1.00          1.00          0.00         1.00
[H2O]              18.00          0.00          1.00          0.00         0.00
[N2]               28.00          0.00          1.00          0.00         0.00
[O2]               32.00          0.00          1.00          0.00         0.00
[aH2O]             18.00          0.00          1.00          0.00         0.00

   END_DATAQUA

   BEGIN_DATASOL
sAL2SO43          342.1e+0        0.00          1.00          0.00         0.00
sALOH3             78.0e+0        0.00          1.00          0.00         0.00
sCACO3            100.1e+0        0.00          1.00          0.00         0.00
sCASO4            136.1e+0        0.00          1.00          0.00         0.00
sCANO32           164.9e+0        0.00          1.00          0.00         0.00
sCACL              75.5e+0        0.00          1.00          0.00         0.00
sFE2O3            159.7e+0        0.00          1.00          0.00         0.00
sFEOH3            106.8e+0        0.00          1.00          0.00         0.00
sFECL3            162.2e+0        0.00          1.00          0.00         0.00
sIllite           383.9e+0        0.00          1.00          0.00         0.00
sAlbite           261.2e+0        0.00          1.00          0.00         0.00
sSmectite         372.5e+0        0.00          1.00          0.00         0.00
sKaolinite        258.2e+0        0.00          1.00          0.00         0.00
sMicro            278.3e+0        0.00          1.00          0.00         0.00
sNACL              59.4e+0        0.00          1.00          0.00         0.00
sNH4CL             53.5e+0        0.00          1.00          0.00         0.00
sNH4NO3            80.0e+0        0.00          1.00          0.00         0.00
sNANO3             85.0e+0        0.00          1.00          0.00         0.00
sNA2SO4           142.0e+0        0.00          1.00          0.00         0.00
sNH42SO4          132.2e+0        0.00          1.00          0.00         0.00
sNAHSO4           120.1e+0        0.00          1.00          0.00         0.00
sNH4HSO4          115.1e+0        0.00          1.00          0.00         0.00
sNH43HSO42        247.3e+0        0.00          1.00          0.00         0.00
sMGCL2             95.2e+0        0.00          1.00          0.00         0.00
sMGNO32           148.3e+0        0.00          1.00          0.00         0.00
sMGSO4            120.4e+0        0.00          1.00          0.00         0.00
sKCL               73.5e+0        0.00          1.00          0.00         0.00
sKNO3             101.1e+0        0.00          1.00          0.00         0.00
sK2SO4            174.3e+0        0.00          1.00          0.00         0.00
sKHSO4            136.2e+0        0.00          1.00          0.00         0.00

   END_DATASOL

#==========================================
   BEGIN_DATAPARTI
#===  ONLY 120 Characters per Line
#------------------------------------------             
#  Name          MolMass   
#                [g/mol]
pAP201       232.0
pAP202       213.0
pNOPI       138.0
pPAN103       229.0
pRP101       170.0
pUR104       186.0
pUR203       260.0
pUR204       154.0

   END_DATAPARTI
